px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.73997	-9.7199	-2.80224	1.98234	-0.105668	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.06075
9.75673	-9.87614	-2.81295	1.94448	-0.13647	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.956076
9.77477	-10.0086	-2.72762	1.90882	-0.17278	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.87318
9.80485	-10.1538	-2.7232	1.88697	-0.184536	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.260643
9.84551	-10.2886	-2.72173	1.87384	-0.18956	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.50901
9.85218	-10.4382	-2.73116	1.83837	-0.213901	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.645677
9.89543	-10.5845	-2.75486	1.83354	-0.203094	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.906375
9.91296	-10.7409	-2.75938	1.80687	-0.217566	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.242627
9.92151	-10.8814	-2.70245	1.7715	-0.248532	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.08038
9.92202	-11.0372	-2.70684	1.73801	-0.267023	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.43661
9.93974	-11.1706	-2.70658	1.72251	-0.268869	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0819802
9.92972	-11.3203	-2.71959	1.68715	-0.289067	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.482919
9.94448	-11.4597	-2.72865	1.6728	-0.287915	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.101416
9.92602	-11.6097	-2.74142	1.63596	-0.308571	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.555821
9.86465	-11.7257	-2.61027	1.5487	-0.406423	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	15.8573
9.83541	-11.8602	-2.61342	1.51187	-0.421694	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.433296
9.8163	-11.9876	-2.60343	1.48217	-0.432243	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.213428
9.76736	-12.131	-2.62152	1.43577	-0.45476	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.784818
9.70793	-12.252	-2.56783	1.36587	-0.519104	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	5.29936
9.6519	-12.3787	-2.57256	1.32155	-0.535877	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.64396
9.54614	-12.4787	-2.49264	1.21222	-0.646434	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	12.6686
9.47143	-12.5935	-2.49752	1.16105	-0.663497	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.771514
9.39739	-12.7134	-2.48645	1.1046	-0.689917	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.603933
9.3116	-12.8265	-2.48438	1.052	-0.703374	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.661021
9.15033	-12.9028	-2.43353	0.890996	-0.873141	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	24.9758
9.02312	-12.9972	-2.45996	0.816834	-0.899317	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.94411
